TABLE_SCHEMA|TABLE_NAME|COLUMN_NAME|ORDINAL_POSITION|CONSTRAINT_NAME
dbo|t397_sb_tercero_formato|f397_id_tercero|2|PK_t397
dbo|t397_sb_tercero_formato|f397_id_formato|3|PK_t397
dbo|t398_co_docto_periodo|f398_rowid|1|PK_t398
dbo|t399_co_lote_impo_docto|f399_id_cia|1|PK_t399
dbo|t399_co_lote_impo_docto|f399_id|2|PK_t399
dbo|t399_co_lote_impo_docto|f399_rowid_docto|3|PK_t399
dbo|t400_cm_existencia|f400_rowid_item_ext|1|PK_t400
dbo|t400_cm_existencia|f400_rowid_bodega|2|PK_t400
dbo|t401_cm_existencia_lote|f401_rowid|1|PK_t401
dbo|t402_cm_costos|f402_rowid_item_ext|1|PK_t402
dbo|t402_cm_costos|f402_id_instalacion|2|PK_t402
dbo|t402_cm_costos|f402_id_grupo_costo|3|PK_t402
dbo|t402_cm_costos|f402_id_segmento_costo|4|PK_t402
dbo|t402_cm_costos|f402_id_cia|5|PK_t402
dbo|t403_cm_lotes|f403_id_cia|1|PK_t403
dbo|t403_cm_lotes|f403_id|2|PK_t403
dbo|t403_cm_lotes|f403_rowid_item_ext|3|PK_t403
dbo|t404_mc_lotes_desc_tecnicas|f404_rowid_campo|1|PK_t404
dbo|t404_mc_lotes_desc_tecnicas|f404_rowid_item_ext|2|PK_t404
dbo|t404_mc_lotes_desc_tecnicas|f404_id_lote|3|PK_t404
dbo|t405_cm_compromisos|f405_rowid|1|PK_t405
dbo|t4051_cm_compromisos_par_log|f4051_rowid|1|PK_t4051
dbo|t406_cm_movto_transito|f406_rowid|1|PK_t406
dbo|t407_cm_compromisos_serial|f407_rowid_compromiso|1|PK_t407
dbo|t407_cm_compromisos_serial|f407_rowid_serial|2|PK_t407
dbo|t408_cm_saldo_paag|f408_id_cia|1|PK_t408_cm_saldo_paag
dbo|t408_cm_saldo_paag|f408_rowid_item_ext|2|PK_t408_cm_saldo_paag
dbo|t408_cm_saldo_paag|f408_id_periodo|3|PK_t408_cm_saldo_paag
dbo|t408_cm_saldo_paag|f408_id_instalacion|4|PK_t408_cm_saldo_paag
dbo|t409_cm_movto_paag|f409_rowid|1|PK_t409
dbo|t410_cm_control_fisico|f410_rowid|1|PK_t410
dbo|t411_cm_control_fisico_item|f411_rowid|1|PK_t411
dbo|t4111_cm_ctrl_fis_item_serial|f4111_rowid|1|PK_t4111
dbo|t412_cm_control_fisico_movto|f412_rowid|1|PK_t412
dbo|t4121_cm_ctrl_fis_movto_serial|f4121_rowid|1|PK_t4121
dbo|t413_cm_secciones|f413_id_cia|1|PK_t413
dbo|t413_cm_secciones|f413_id|2|PK_t413
dbo|t415_cm_existencia_consig|f415_rowid|1|PK_t415
dbo|t416_cm_exist_consig_movto|f416_rowid_movto_inv_saldo|1|PK_t416
dbo|t417_cm_seriales|f417_rowid|1|PK_t417
dbo|t41801_import_cptos|f41801_rowid|1|PK_t41801
dbo|t41802_import_cptos_serv|f41802_rowid|1|PK_t41802
dbo|t41803_import_incoterms|f41803_rowid|1|PK_t41803
dbo|t41804_import_plantilla|f41804_rowid|1|PK_t41804
dbo|t41805_import_plantilla_cpto|f41805_rowid|1|PK_t41805
